"AREA";"Zona_Num_N";"id";"LocNombre";"Latitud";"Longitud"
0.42;250;219;"CHAPINERO";4.6474059;-74.0517097
0.21;266;220;"CHAPINERO";4.6400689;-74.054508
0.74;156;227;"USAQUEN";4.6861897;-74.028388
0.25;157;228;"USAQUEN";4.68355;-74.0289446
0.13;243;229;"CHAPINERO";4.6658076;-74.049688
0.23;263;230;"CHAPINERO";4.6675597;-74.0485531
0.19;262;231;"CHAPINERO";4.670981;-74.0464511
0.35;261;232;"CHAPINERO";4.6747192;-74.0443752
0.15;260;233;"CHAPINERO";4.677866;-74.0425047
0.36;245;234;"CHAPINERO";4.6625094;-74.0526393
0.3;252;235;"CHAPINERO";4.6498415;-74.0549697
0.12;253;236;"CHAPINERO";4.6523656;-74.0547417
0.22;847;237;"CHAPINERO";4.6575847;-74.0558766
0.34;251;238;"CHAPINERO";4.6458796;-74.055579
0.8;155;249;"USAQUEN";4.6926129;-74.0289875
0.52;151;250;"USAQUEN";4.6823407;-74.0391867
0.43;259;251;"CHAPINERO";4.6813079;-74.0450208
0.18;149;252;"USAQUEN";4.6879671;-74.0451943
0.13;150;253;"USAQUEN";4.6854889;-74.0447064
0.34;258;254;"CHAPINERO";4.6775457;-74.0488593
0.18;257;255;"CHAPINERO";4.6733174;-74.0509342
0.2;256;256;"CHAPINERO";4.6703345;-74.0522007
0.13;242;257;"CHAPINERO";4.6677338;-74.0545055
0.27;165;265;"CHAPINERO";4.6789165;-74.0545425
0.27;164;266;"CHAPINERO";4.6760159;-74.0560674
0.66;168;267;"BARRIOS UNIDOS";4.6729736;-74.0622598
0.26;241;268;"CHAPINERO";4.6659487;-74.0588047
0.19;224;269;"BARRIOS UNIDOS";4.6669468;-74.0637295
0.21;246;270;"CHAPINERO";4.6637766;-74.0562369
0.28;255;507;"CHAPINERO";4.6505838;-74.0613834
0.27;848;508;"CHAPINERO";4.6538441;-74.0584242
0.14;240;509;"BARRIOS UNIDOS";4.6574829;-74.0634324
0.28;234;510;"BARRIOS UNIDOS";4.6632267;-74.0636392
0.23;239;524;"BARRIOS UNIDOS";4.6529344;-74.0656555
0.12;236;525;"BARRIOS UNIDOS";4.6550783;-74.0676749
0.28;235;526;"BARRIOS UNIDOS";4.6595322;-74.0667674
0.29;231;527;"BARRIOS UNIDOS";4.6626382;-74.0700245
0.11;232;528;"BARRIOS UNIDOS";4.6649673;-74.0684166
0.65;198;542;"ENGATIVA";4.6999;-74.1196314
0.56;200;543;"ENGATIVA";4.694131;-74.1123982
0.68;204;544;"ENGATIVA";4.6830612;-74.1085741
0.71;301;545;"ENGATIVA";4.67326;-74.1089729
0.43;303;546;"ENGATIVA";4.679053;-74.1136442
0.13;238;547;"BARRIOS UNIDOS";4.6522385;-74.0686524
0.11;237;548;"BARRIOS UNIDOS";4.6526361;-74.070857
0.24;230;549;"BARRIOS UNIDOS";4.6576647;-74.0711778
0.36;227;550;"BARRIOS UNIDOS";4.6591773;-74.0751161
0.19;226;551;"BARRIOS UNIDOS";4.664732;-74.073422
0.48;282;552;"TEUSAQUILLO";4.6465032;-74.0710944
0.32;281;553;"TEUSAQUILLO";4.6457334;-74.0671919
0.45;275;554;"CHAPINERO";4.6445615;-74.0631169
0.15;274;555;"CHAPINERO";4.644573;-74.0584523
0.19;273;556;"CHAPINERO";4.6412955;-74.060799
0.25;267;557;"CHAPINERO";4.6393282;-74.0575096
0.15;283;558;"TEUSAQUILLO";4.6499936;-74.0746594
0.22;286;559;"TEUSAQUILLO";4.6419912;-74.0749691
0.27;288;560;"TEUSAQUILLO";4.6381018;-74.0779994
0.16;285;561;"TEUSAQUILLO";4.6425222;-74.070578
0.33;287;562;"TEUSAQUILLO";4.6386501;-74.0738281
0.36;279;563;"TEUSAQUILLO";4.6349463;-74.0719071
0.22;280;564;"TEUSAQUILLO";4.638606;-74.0676808
0.35;276;565;"CHAPINERO";4.6361114;-74.0648776
0.2;277;566;"CHAPINERO";4.6294811;-74.0660349
